movie_id,rating,title,genre
0770828,2690,Man of Steel (2013),Action|Adventure|Sci-Fi
0816711,2428,World War Z (2013),Action|Adventure|Horror|Sci-Fi|Thriller
1300854,2414,Iron Man Three (2013),Action|Adventure|Sci-Fi
1663202,2055,The Revenant (2015),Action|Adventure|Biography|Drama|Western
1392190,1937,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
1408101,1884,Star Trek Into Darkness (2013),Action|Adventure|Sci-Fi
1431045,1854,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
1951264,1837,The Hunger Games: Catching Fire (2013),Action|Adventure|Sci-Fi|Thriller
1483013,1803,Oblivion (2013),Action|Adventure|Sci-Fi
5013056,1778,Dunkirk (2017),Action|Drama|History|Thriller|War
