movie_id,rating,title,genre
0993846,2833,The Wolf of Wall Street (2013),Biography|Crime|Drama
1535109,2162,Captain Phillips (2013),Biography|Drama|Thriller
1663202,2055,The Revenant (2015),Action|Adventure|Biography|Drama|Western
2084970,2020,The Imitation Game (2014),Biography|Drama|Thriller|War
2024544,1867,12 Years a Slave (2013),Biography|Drama|History
1979320,1747,Rush (2013),Action|Biography|Drama|Sport
2119532,1707,Hacksaw Ridge (2016),Biography|Drama|History|War
0790636,1675,Dallas Buyers Club (2013),Biography|Drama
2179136,1346,American Sniper (2014),Action|Biography|Drama|War
2980516,1290,The Theory of Everything (2014),Biography|Drama|Romance
