movie_id,rating,title,genre
0993846,2833,The Wolf of Wall Street (2013),Biography|Crime|Drama
7286456,2752,Joker (2019),Crime|Drama|Thriller
1670345,2379,Now You See Me (2013),Crime|Mystery|Thriller
1392214,2154,Prisoners (2013),Crime|Drama|Mystery|Thriller
1800241,1861,American Hustle (2013),Crime|Drama
2278388,1759,The Grand Budapest Hotel (2014),Adventure|Comedy|Crime|Drama
3460252,1540,The Hateful Eight (2015),Crime|Drama|Mystery|Thriller|Western
2872718,1477,Nightcrawler (2014),Crime|Drama|Thriller
3890160,1426,Baby Driver (2017),Action|Crime|Drama|Music|Thriller
1723121,1340,We're the Millers (2013),Comedy|Crime
