movie_id,rating,title,genre
2545118,305,Blackfish (2013),Documentary|Drama
2125608,239,Searching for Sugar Man (2012),Documentary|Biography|Music
2870648,189,Amy (2015),Documentary|Biography|Music
1966604,155,The Imposter (2012),Documentary|Biography|Crime
4044364,124,Citizenfour (2014),Documentary|Biography|Thriller
1424432,123,Senna (2010),Documentary|Biography|Sport
2515086,115,This Is Us (2013),Documentary|Music
2375605,105,The Act of Killing (2012),Documentary|Crime
2085910,100,Room 237 (2012),Documentary
5895028,90,13th (2016),Documentary|Crime|History
