movie_id,rating,title,genre
1454468,3103,Gravity (2013),Drama|Sci-Fi|Thriller
0816692,2942,Interstellar (2014),Adventure|Drama|Sci-Fi
8579674,2872,1917 (2019),Drama|War
0993846,2833,The Wolf of Wall Street (2013),Biography|Crime|Drama
7286456,2752,Joker (2019),Crime|Drama|Thriller
2267998,2276,Gone Girl (2014),Drama|Mystery|Thriller
1535109,2162,Captain Phillips (2013),Biography|Drama|Thriller
1392214,2154,Prisoners (2013),Crime|Drama|Mystery|Thriller
1663202,2055,The Revenant (2015),Action|Adventure|Biography|Drama|Western
2084970,2020,The Imitation Game (2014),Biography|Drama|Thriller|War
