movie_id,rating,title,genre
2294629,1233,Frozen (2013),Animation|Adventure|Comedy|Family|Fantasy|Musical
2096673,1119,Inside Out (2015),Animation|Adventure|Comedy|Drama|Family|Fantasy
1690953,1092,Despicable Me 2 (2013),Animation|Adventure|Comedy|Family|Fantasy|Sci-Fi
1587310,1000,Maleficent (2014),Action|Adventure|Family|Fantasy|Romance
2948356,983,Zootopia (2016),Animation|Adventure|Comedy|Crime|Family|Mystery
1490017,962,The Lego Movie (2014),Animation|Action|Adventure|Comedy|Family|Fantasy
1453405,939,Monsters University (2013),Animation|Adventure|Comedy|Family|Fantasy
3183660,939,Fantastic Beasts and Where to Find Them (2016),Adventure|Family|Fantasy
1623205,910,Oz the Great and Powerful (2013),Adventure|Family|Fantasy
2245084,858,Big Hero 6 (2014),Animation|Action|Adventure|Comedy|Family|Sci-Fi
