movie_id,rating,title,genre
1170358,1683,The Hobbit: The Desolation of Smaug (2013),Adventure|Fantasy
2975590,1672,Batman v Superman: Dawn of Justice (2016),Action|Adventure|Fantasy|Sci-Fi
1981115,1617,Thor: The Dark World (2013),Action|Adventure|Fantasy
1386697,1588,Suicide Squad (2016),Action|Adventure|Fantasy|Sci-Fi
2488496,1569,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi
4154796,1450,Avengers: Endgame (2019),Action|Adventure|Fantasy|Sci-Fi
1211837,1372,Doctor Strange (2016),Action|Adventure|Fantasy|Sci-Fi
1245492,1282,This Is the End (2013),Comedy|Fantasy
2294629,1233,Frozen (2013),Animation|Adventure|Comedy|Family|Fantasy|Musical
0451279,1221,Wonder Woman (2017),Action|Adventure|Fantasy|Sci-Fi|War
