movie_id,rating,title,genre
2024544,1867,12 Years a Slave (2013),Biography|Drama|History
5013056,1778,Dunkirk (2017),Action|Drama|History|Thriller|War
2119532,1707,Hacksaw Ridge (2016),Biography|Drama|History|War
3682448,1044,Bridge of Spies (2015),Drama|History|Thriller
1302006,1032,The Irishman (2019),Biography|Crime|Drama|History|Thriller
1596363,1012,The Big Short (2015),Biography|Comedy|Drama|History
1398426,671,Straight Outta Compton (2015),Biography|Drama|History|Music
4846340,649,Hidden Figures (2016),Biography|Drama|History
1390411,616,In the Heart of the Sea (2015),Action|Adventure|Biography|Drama|History|Thriller
4555426,596,Darkest Hour (2017),Biography|Drama|History|War
