movie_id,rating,title,genre
0816711,2428,World War Z (2013),Action|Adventure|Horror|Sci-Fi|Thriller
1457767,1643,The Conjuring (2013),Horror|Mystery|Thriller
5052448,1273,Get Out (2017),Horror|Mystery|Thriller
4972582,1209,Split (2016),Horror|Thriller
1396484,1186,It (2017),Horror|Thriller
6644200,1074,A Quiet Place (2018),Drama|Horror|Sci-Fi
2737304,976,Bird Box (2018),Drama|Horror|Sci-Fi
4160708,889,Don't Breathe (2016),Crime|Horror|Thriller
2184339,834,The Purge (2013),Horror|Thriller
1179933,821,10 Cloverfield Lane (2016),Drama|Horror|Mystery|Sci-Fi|Thriller
