movie_id,rating,title,genre
3783958,1701,La La Land (2016),Comedy|Drama|Music|Musical|Romance
2294629,1233,Frozen (2013),Animation|Adventure|Comedy|Family|Fantasy|Musical
1485796,754,The Greatest Showman (2017),Biography|Drama|Musical
2771200,634,Beauty and the Beast (2017),Family|Fantasy|Musical|Romance
1707386,567,Les Misérables (2012),Drama|History|Musical|Romance|War
3521164,552,Vaiana (2016),Animation|Adventure|Comedy|Family|Fantasy|Musical
6139732,526,Aladdin (2019),Adventure|Comedy|Family|Fantasy|Musical|Romance
6105098,448,The Lion King (2019),Animation|Adventure|Drama|Family|Musical
2180411,389,Into the Woods (2014),Adventure|Comedy|Drama|Fantasy|Musical
6412452,312,The Ballad of Buster Scruggs (2018),Comedy|Drama|Musical|Mystery|Romance|Western
