movie_id,rating,title,genre
1670345,2379,Now You See Me (2013),Crime|Mystery|Thriller
2267998,2276,Gone Girl (2014),Drama|Mystery|Thriller
1392214,2154,Prisoners (2013),Crime|Drama|Mystery|Thriller
2543164,1679,Arrival (2016),Drama|Mystery|Sci-Fi|Thriller
1457767,1643,The Conjuring (2013),Horror|Mystery|Thriller
3460252,1540,The Hateful Eight (2015),Crime|Drama|Mystery|Thriller|Western
8946378,1283,Knives Out (2019),Comedy|Crime|Drama|Mystery|Thriller
5052448,1273,Get Out (2017),Horror|Mystery|Thriller
2024469,1127,Non-Stop (2014),Action|Mystery|Thriller
0470752,1084,Ex Machina (2014),Drama|Mystery|Sci-Fi|Thriller
