movie_id,rating,title,genre
5929776,67,Before the Flood (2016),Documentary|News
2486682,56,Al Midan (2013),Documentary|Drama|History|News
2593392,23,Alive Inside (2014),Documentary|News
2084953,23,Terms and Conditions May Apply (2013),Documentary|News
3162938,22,The True Cost (2015),Documentary|Drama|News
3270538,21,Requiem for the American Dream (2015),Documentary|Biography|News
1232207,16,Capitalism: A Love Story (2009),Documentary|Crime|News
1778338,16,The Culture High (2014),Documentary|News
3518012,15,Best of Enemies (2015),Documentary|History|News
5033790,13,Banking on Bitcoin (2016),Documentary|History|News
