movie_id,rating,title,genre
1343092,1932,The Great Gatsby (2013),Drama|Romance
1798709,1864,Her (2013),Drama|Romance|Sci-Fi
3783958,1701,La La Land (2016),Comedy|Drama|Music|Musical|Romance
1045658,1529,Silver Linings Playbook (2012),Comedy|Drama|Romance
2980516,1290,The Theory of Everything (2014),Biography|Drama|Romance
0359950,1194,The Secret Life of Walter Mitty (2013),Adventure|Comedy|Drama|Fantasy|Romance
2582846,1096,The Fault in Our Stars (2014),Drama|Romance
2194499,1001,About Time (2013),Comedy|Drama|Fantasy|Romance|Sci-Fi
1587310,1000,Maleficent (2014),Action|Adventure|Family|Fantasy|Romance
0109830,907,Forrest Gump (1994),Drama|Romance
