movie_id,rating,title,genre
1454468,3103,Gravity (2013),Drama|Sci-Fi|Thriller
0816692,2942,Interstellar (2014),Adventure|Drama|Sci-Fi
0770828,2690,Man of Steel (2013),Action|Adventure|Sci-Fi
0816711,2428,World War Z (2013),Action|Adventure|Horror|Sci-Fi|Thriller
1300854,2414,Iron Man Three (2013),Action|Adventure|Sci-Fi
1392190,1937,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
1408101,1884,Star Trek Into Darkness (2013),Action|Adventure|Sci-Fi
1798709,1864,Her (2013),Drama|Romance|Sci-Fi
1431045,1854,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
1951264,1837,The Hunger Games: Catching Fire (2013),Action|Adventure|Sci-Fi|Thriller
