movie_id,rating,title,genre
10367276,96,The Rat (2019),Short|Drama
3472226,90,Kung Fury (2015),Short|Action|Comedy|Fantasy|Sci-Fi
6073176,36,The White Helmets (2016),Documentary|Short|Crime|War
6620846,32,Wasati (2016),Short|Adventure|Comedy
5613056,31,Piper (2016),Animation|Short|Family
5262972,28,Avengers: Age of Ultron Parody (2015),Short|Comedy
0056119,27,La jetée (1962),Short|Drama|Romance|Sci-Fi
2388725,27,Paperman (2012),Animation|Short|Comedy|Family|Romance
10516984,24,Anima (2019),Short|Music
8075496,23,Bao (2018),Animation|Short|Family|Fantasy
