movie_id,rating,title,genre
1979320,1747,Rush (2013),Action|Biography|Drama|Sport
1950186,1177,Ford v Ferrari (2019),Action|Biography|Drama|Sport
3076658,995,Creed (2015),Drama|Sport
1798684,943,Southpaw (2015),Drama|Sport
1809398,621,Unbroken (2014),Biography|Drama|Sport|War
1100089,558,Foxcatcher (2014),Biography|Drama|Sport
5580036,529,"I, Tonya (2017)",Biography|Comedy|Drama|Sport
1291584,508,Warrior (2011),Drama|Sport
3322364,424,Concussion (2015),Biography|Drama|Sport
0405159,395,Million Dollar Baby (2004),Drama|Sport
