movie_id,rating,title,genre
8579674,2872,1917 (2019),Drama|War
2084970,2020,The Imitation Game (2014),Biography|Drama|Thriller|War
5013056,1778,Dunkirk (2017),Action|Drama|History|Thriller|War
2119532,1707,Hacksaw Ridge (2016),Biography|Drama|History|War
2713180,1444,Fury (2014),Action|Drama|War
2179136,1346,American Sniper (2014),Action|Biography|Drama|War
0451279,1221,Wonder Woman (2017),Action|Adventure|Fantasy|Sci-Fi|War
1091191,1058,Lone Survivor (2013),Action|Biography|Drama|War
2584384,954,Jojo Rabbit (2019),Comedy|Drama|War
1253863,886,300: Rise of an Empire (2014),Action|Fantasy|War
