movie_id,rating,title,genre
1663202,2055,The Revenant (2015),Action|Adventure|Biography|Drama|Western
1853728,1673,Django Unchained (2012),Drama|Western
3460252,1540,The Hateful Eight (2015),Crime|Drama|Mystery|Thriller|Western
1210819,884,The Lone Ranger (2013),Action|Adventure|Western
2582782,746,Hell or High Water (2016),Action|Crime|Drama|Thriller|Western
2557490,555,A Million Ways to Die in the West (2014),Comedy|Western
2404435,554,The Magnificent Seven (2016),Action|Adventure|Western
0060196,364,"Il buono, il brutto, il cattivo (1966)",Western
1206885,338,Rambo: Last Blood (2019),Action|Adventure|Thriller|Western
0105695,317,Unforgiven (1992),Drama|Western
